game_num,Site,Date,White,Black,Result,ECO,ECOUrl,UTCDate,UTCTime,WhiteElo,BlackElo,My ELO,Opponent Elo,TimeControl,Termination,StartTime,EndDate,EndTime,Full Opening Name,Main Opening Name,Variation Opening Name,Win-Loss-Draw,Total Moves,White Accuracy,Black Accuracay,Black Total Blunders,Black Total Mistakes,White Total Blundres,White Total Mistakes,Black First Blunder,Black First Mistake,White First Blunder,White First Mistake
114,Chess.com,2025.04.12,FreakWhenSee,Tropitrope,1-0,B02,https://www.chess.com/openings/Alekhines-Defense-Scandinavian-Variation-3.exd5-Nxd5-4.Nf3,2025.04.12,1:10:35,1581,1554,1581,1554,600,FreakWhenSee won by resignation,1:10:35,2025.04.12,1:17:55,Alekhine's Defense: Scandinavian Variation,Alekhine's Defense,Scandinavian Variation,Win,24,88.36,77.52,1,4,0,3,23,16,0,10
115,Chess.com,2025.04.12,srinath422,FreakWhenSee,0-1,B07,https://www.chess.com/openings/Pirc-Defense-Main-Line-Kholmov-System-4...Bg7,2025.04.12,23:50:53,1550,1588,1588,1550,600,FreakWhenSee won by resignation,23:50:53,2025.04.13,0:02:24,"Pirc Defense: Main Line, Kholmov System",Pirc Defense,"Main Line, Kholmov System",Win,29,81.44,89.13,1,5,2,5,18,11,8,9
116,Chess.com,2025.04.13,FreakWhenSee,montazerireza,0-1,C25,https://www.chess.com/openings/Vienna-Game-Max-Lange-Defense-3.Bc4,2025.04.13,16:45:39,1580,1590,1580,1590,600,montazerireza won by resignation,16:45:39,2025.04.13,16:48:53,Vienna Game: Max Lange Defense,Vienna Game,Max Lange Defense,Loss,17,91.08,83.12,0,4,2,3,0,5,10,5
117,Chess.com,2025.04.13,RrustamA,FreakWhenSee,1/2-1/2,A45,https://www.chess.com/openings/Indian-Game-2.Bf4-d6,2025.04.13,16:49:21,1573,1580,1580,1573,600,Game drawn by insufficient material,16:49:21,2025.04.13,17:04:05,Indian Game,Indian Game,Main Line,Draw,62,75.04,67.51,4,3,2,3,51,20,40,18
118,Chess.com,2025.04.13,FreakWhenSee,aguila4,1/2-1/2,C25,https://www.chess.com/openings/Vienna-Game-2...d6-3.Bc4,2025.04.13,17:27:48,1580,1595,1580,1595,600,Game drawn by repetition,17:27:48,2025.04.13,17:44:07,Vienna Game,Vienna Game,Main Line,Draw,60,64.15,47.57,0,9,2,8,0,7,22,7
119,Chess.com,2025.04.13,detroitpcb,FreakWhenSee,0-1,A16,https://www.chess.com/openings/Kings-Indian-Defense-Fianchetto-Yugoslav-System-5.Nc3,2025.04.13,23:52:22,1559,1588,1588,1559,600,FreakWhenSee won by resignation,23:52:22,2025.04.14,0:07:10,"King's Indian Defense: Fianchetto, Yugoslav System",King's Indian Defense,"Fianchetto, Yugoslav System",Win,50,69.35,66.07,0,8,1,7,0,15,49,25
120,Chess.com,2025.04.14,adel025,FreakWhenSee,1-0,B07,https://www.chess.com/openings/Pirc-Defense,2025.04.14,0:52:09,1528,1578,1578,1528,600,adel025 won by resignation,0:52:09,2025.04.14,1:02:59,Pirc Defense,Pirc Defense,Main Line,Loss,32,81.82,67.93,0,7,0,3,0,10,0,18
121,Chess.com,2025.04.14,FreakWhenSee,Vardy81,1-0,B23,https://www.chess.com/openings/Closed-Sicilian-Defense-Grand-Prix-Attack-3...d6-4.Nf3-Nf6-5.Bb5,2025.04.14,1:03:50,1586,1557,1586,1557,600,FreakWhenSee won by resignation,1:03:50,2025.04.14,1:10:24,Closed Sicilian Defense: Grand Prix Attack,Closed Sicilian Defense,Grand Prix Attack,Win,35,77.74,87.43,3,3,0,5,13,26,0,11
122,Chess.com,2025.04.14,FreakWhenSee,omioakys,1-0,C25,https://www.chess.com/openings/Vienna-Game-Max-Lange-Defense-3.Bc4,2025.04.14,23:56:43,1594,1590,1594,1590,600,FreakWhenSee won by resignation,23:56:43,2025.04.15,0:05:23,Vienna Game: Max Lange Defense,Vienna Game,Max Lange Defense,Win,26,83.66,77.98,0,4,0,0,0,10,0,0
123,Chess.com,2025.04.15,FreakWhenSee,Saevarms,1-0,C27,https://www.chess.com/openings/Vienna-Game-Frankenstein-Dracula-Variation,2025.04.15,0:08:56,1602,1573,1602,1573,600,FreakWhenSee won by resignation,0:08:56,2025.04.15,0:10:58,Vienna Game: Frankenstein-Dracula Variation,Vienna Game,Frankenstein-Dracula Variation,Win,11,63.61,80.55,1,0,0,1,7,0,0,7
